Result_ID;Company;System;Database_Software; Operating_System;Server_CPU_Type;nb_CPU's;Total_Processors;Total Cores;nb_CPU's;Total_Server_CPU's;Total_Cores;Total_Threads;Cluster;;Date_Submitted;CPU_Type;CPU_user;CPU_sys;CPU_iowait;CPU_idle;dskreads;pagreads;bufreads;rdcached;dskwrits;pagwrits;bufwrits;wrcached;bufwaits;lockreqs;lokwaits;deadlks;dltouts;ckpwaits ;compress;lchwaits;Taille block;V_Rot;Buffer_Pool;Read_Latency ;Write_Latency;bandwidth_reading;bandwidth_Write;Total_size_DB;Nbr_predicates_table ;Number_join_predicates_query ;size_table_participating _join;aggregate;sort;groupby;Number_tables_involving_query;Nbr_Join_Pred_IDX;Access _index_table;Nb_join_pred;Workload characteristic ;Currency;CPU_Cost ;IO_Cost;Total_Sys_Cost
11;Bull                ;Bull Escala EPC2450 c/s                           ;IBM AIX 4.3.3                                                         ;Red Hat Enterprise Linux Server 7.15;IBM RS64-IV - 600 MHz                                                 ;1;2;20;24;24;40;40;N;;5/28/2001;Intel Xeon E5-2690 v2 - 3.0 GHz                                       ;0,5;5,1;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;4;10 000;8;4.20674;0.26140;132.2 ;131.15;1;4;3;lineorder (20), customer(20) , supplier(40);AVG;1;1;5;5;2;4;1groupby, 1join, 2table ;USD;11,9;1177,66;1189,56
12;Cisco               ;Cisco UCS C240 M3 Rack Server                     ;Oracle Linux w/Unbreakable Enterprise Kernel R2                       ;Red Hat Enterprise Linux Server 7.16;Intel Xeon E5-2690 - 2.90 GHz                                         ;1;4;32;2;2;24;48;N;;9/26/2012;Intel Xeon E5-4650 - 2.70 GHz                                         ;0,5;5,1;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;4;10 000;8;4.20675;0.26141;132.2 ;131.16;1;3;2;lineorder (20), customer(20) , supplier(40);AVG;3;3;3;2;3;4;1groupby, 1outer join, 2table ;USD;11,92;1180,33;1192,25
13;Cisco               ;Cisco UCS C250 M2 Extended-Memory Server          ;Oracle Linux w/Unbreakable Enterprise Kernel R2                       ;Red Hat Enterprise Linux Server 7.17;Intel Xeon X5690 Hex-Core - 3.46 GHz                                  ;1;2;12;2;2;4;8;N;;12/08/2011;Intel Xeon X5690 Hex-Core - 3.46 GHz                                  ;0,5;2,6;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;4;10 000;8;4.20676;0.26142;132.2 ;131.17;1;1;4;lineorder (20), customer(20) , supplier(40);AVG;2;1;4;5;1;5;1join, 2table ;USD;11,51;1139,72;1151,23
14;Dell                ;Dell PowerEdge T710                               ;Microsoft Windows Server 2003 Enterprise x64 Edition                  ;Red Hat Enterprise Linux Server 7.18;Intel Xeon E5520 Quad-Core - 2.26 GHz                                 ;1;2;12;1;1;4;4;N;;11/18/2009;Intel Xeon X5690 Hex-Core - 3.46 GHz                                  ;0,5;2,6;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;4;10 000;8;4.20677;0.26143;132.2 ;131.18;1;3;2;lineorder (20), customer(20) , supplier(40);AVG;3;2;5;5;3;3;1groupby, 1table, 1write ;USD;11,69;1156,86;1168,55
15;Dell                ;Dell PowerEdge 2900                               ;Microsoft Windows Server 2003 Standard Edition x64                    ;Red Hat Enterprise Linux Server 7.19;Intel Xeon X5440 Quad-Core - 2.83 GHz                                 ;4;4;40;1;1;4;4;N;;2/20/2009;Intel Xeon E7-4870 - 2.40 GHz                                         ;0,5;2,6;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;4;10 000;8;4.20678;0.26144;132.2 ;131.19;1;1;4;lineorder (20), customer(20) , supplier(40);AVG;2;3;5;5;2;4;1groupby, 2join, 3table ;USD;11,98;1186,31;1198,29
16;Dell                ;Dell PowerEdge 2900                               ;Microsoft Windows Server 2003 Standard Edition x64                    ;Red Hat Enterprise Linux Server 7.20;Intel Xeon X5440 Quad-Core - 2.83 GHz                                 ;6;12;120;1;1;8;8;N;;6/16/2008;Intel Xeon E5-2680 v2 2.80 GHz                                        ;0,5;2,6;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;4;10 000;8;4.20679;0.26145;132.2 ;131.20;1;2;3;lineorder (20), customer(20) , supplier(40);AVG;1;3;3;5;2;4;1join, 1unionall, 2table ;USD;7,78;770,18;777,96
17;Dell                ;PowerEdge 2900/1/2.66GHz/2x4M                     ;Microsoft Windows Server 2003 Enterprise Edition SP1                  ;Red Hat Enterprise Linux Server 7.21;Intel Xeon X5355 Quad-Core - 2.66 GHz                                 ;12;24;240;1;1;2;4;N;;06/08/2007;Intel Xeon E5-2680 v2 2.80 GHz                                        ;0,5;2,6;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;4;10 000;8;4.20680;0.26146;132.2 ;131.21;10;2;2;lineorder (20), customer(20) , supplier(40);AVG;3;2;3;5;3;5;3join, 1unionall, 3table ;USD;6,86;679,34;686,202
18;Dell                ;PowerEdge 2900/1/2.33GHz/2x4M                     ;Microsoft Windows 2003 Server Standard Edition SP1                    ;Red Hat Enterprise Linux Server 7.22;Intel Xeon E5345 Quad-Core - 2.33 GHz                                 ;20;40;400;1;1;2;4;N;;03/09/2007;Intel Xeon E5-2680 v2 2.80 GHz                                        ;0,5;2,6;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;4;10 000;8;4.20681;0.26147;132.2 ;131.22;10;3;4;lineorder (20), customer(20) , supplier(40);AVG;3;1;5;2;2;5;3join, 1unionall, 2table ;USD;198,43;19644,78;19843,213
19;Dell                ;PowerEdge 2900/3.0GHz/4M                          ;Microsoft Windows 2003 Server Standard Edition SP1                    ;Red Hat Enterprise Linux Server 7.23;Intel Xeon - 3.0 GHz                                                  ;28;56;560;2;1;2;2;N;;6/30/2006;Intel Xeon E5-2680 v2 2.80 GHz                                        ;0,5;2,6;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;4;10 000;8;4.20682;0.26148;132.2 ;131.23;10;1;2;lineorder (20), customer(20) , supplier(40);AVG;2;1;4;2;3;5;1groupby, 4join, 5table ;USD;152,93;15139,72;15292,648
20;Dell                ;PowerEdge 2800/1/3.6GHz/2M                        ;Microsoft Windows Server 2003 Standard Edition                        ;Red Hat Enterprise Linux Server 7.24;Intel Xeon - 3.6 GHz                                                  ;34;68;680;1;1;2;4;N;;02/09/2006;Intel Xeon E5-2680 v2 2.80 GHz                                        ;0,5;2,6;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;4;10 000;8;4.20683;0.26149;132.2 ;131.24;10;3;4;lineorder (20), customer(20) , supplier(40);AVG;2;2;3;5;3;5;1groupby, 4join, 1outer join, 4table ;USD;466,84;46217,43;46684,27
21;Dell                ;PowerEdge 2800/1/2.8GHz/2+2M                      ;Microsoft Windows 2003 Server Standard Edition x64                    ;Red Hat Enterprise Linux Server 7.25;Intel Xeon - 2.8 GHz                                                  ;40;80;800;1;1;4;4;N;;9/26/2005;Intel Xeon E5-2680 v2 2.80 GHz                                        ;0,5;2,6;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;4;10 000;8;4.20684;0.26150;132.2 ;131.25;10;1;4;lineorder (20), customer(20) , supplier(40);AVG;1;1;3;4;1;5;1groupby, 1outer join, 3table;USD;466,84;46217,44;46684,28
22;Dell                ;PowerEdge 2800/2/3.6GHz/2M                        ;Microsoft Windows Server 2003 Enterprise Edition                      ;Red Hat Enterprise Linux Server 7.26;Intel Xeon - 3.6 GHz                                                  ;50;100;1000;2;2;4;8;N;;05/10/2005;Intel Xeon E5-2680 v2 2.80 GHz                                        ;0,5;2,6;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;4;10 000;8;4.20685;0.26151;132.2 ;131.26;10;2;4;lineorder (20), customer(20) , supplier(40);AVG;3;3;4;2;1;3;2load, 2HashJoin, 1BcastJoin ;USD;466,84;46217,45;46684,29
23;Dell                ;PowerEdge 2800/1/3.4GHz/2M                        ;Microsoft Windows Server 2003 Server                                  ;Red Hat Enterprise Linux Server 7.27;Intel Xeon - 3.4 GHz                                                  ;1;4;32;1;1;2;4;N;;2/24/2005;Intel Xeon E5-4650 - 2.70 GHz                                         ;0,5;2,6;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;4;10 000;8;4.20686;0.26152;132.2 ;131.27;10;1;2;lineorder (20), customer(20) , supplier(40);AVG;1;3;5;3;1;5;3load, 2HashJoin, 1Aggregate ;USD;466,84;46217,46;46684,3
24;Dell                ;PowerEdge 2850/1/3.4GHz/1M                        ;Microsoft Windows Server 2003 Server                                  ;Red Hat Enterprise Linux Server 7.28;Intel Xeon - 3.4 GHz                                                  ;1;2;16;1;1;2;4;N;;12/10/2004;Intel Xeon E5-2690 - 2.90 GHz                                         ;0,5;2,6;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;4;10 000;8;4.20687;0.26153;132.2 ;131.28;10;3;2;lineorder (20), customer(20) , supplier(40);AVG;3;3;5;4;1;4;2load, 1HashJoin, 1Aggregate ;USD;466,84;46217,47;46684,31
25;Dell                ;PowerEdge 6600/4/2.0GHz/32GB                      ;Microsoft Windows Server 2003 Enterprise Edition                      ;Red Hat Enterprise Linux Server 7.29;Intel Xeon X3000 MP - 3.0 GHz                                         ;1;2;16;4;4;32;32;N;;5/27/2004;Intel Xeon E5-2690 - 2.90 GHz                                         ;0,5;2,6;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;4;10 000;8;4.20688;0.26154;132.2 ;131.29;10;4;4;lineorder (20), customer(20) , supplier(40);AVG;3;2;5;5;2;3;3load, 3HashJoin, 1BcastJoin, 1Aggregate ;USD;29,02;2872,65;2901,67
26;Dell                ;PowerEdge 2650/1/3.2GHs/2M                        ;Microsoft Windows Server 2003 Enterprise Server                       ;Red Hat Enterprise Linux Server 7.30;Intel Xeon - 3.2 GHz                                                  ;1;2;12;1;1;2;2;N;;2/23/2004;Intel Xeon X5690 Hex-Core - 3.46 GHz                                  ;0,5;2,6;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;4;10 000;8;4.20689;0.26155;132.2 ;131.30;10;1;4;lineorder (20), customer(20) , supplier(40);AVG;1;3;4;2;3;3;1load, 1Aggregate ;USD;26,95;2668,42;2695,37
27;Dell                ;PowerEdge 2650/1/3.2GHz/2M                        ;Microsoft Windows Server 2003 Server                                  ;Red Hat Enterprise Linux Server 7.31;Intel Xeon - 3.2 GHz                                                  ;1;4;32;1;1;1;1;N;;2/18/2004;Intel Xeon E7-8837 - 2.67 GHz                                         ;0,5;2,6;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;4;10 000;8;4.20690;0.26156;132.2 ;131.31;10;4;4;lineorder (20), customer(20) , supplier(40);AVG;3;1;3;2;1;4;4load, 1Unionall, 4HashJoin, 1Aggregate ;USD;27,53;2725,96;2753,49
28;Dell                ;PowerEdge 2650/1/3.2GHz/2M                        ;Microsoft Windows Server 2003 Server                                  ;Red Hat Enterprise Linux Server 7.32;Intel Xeon - 3.2 GHz                                                  ;1;4;32;1;1;2;2;N;;2/18/2004;Intel Xeon E7-8837 - 2.67 GHz                                         ;0,5;2,6;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;4;10 000;8;4.20691;0.26157;132.2 ;131.32;10;4;4;lineorder (20), customer(20) , supplier(40);AVG;3;1;5;2;3;3;4load, 4HashJoin, 1BcastJoin, 1Aggregate ;USD;68,68;6799,06;6867,74
29;Dell                ;PowerEdge2650                                     ;Microsoft Windows Server 2003 Server                                  ;Red Hat Enterprise Linux Server 7.33;Intel Xeon - 3.06 GHz                                                 ;2;4;24;1;1;2;2;N;;7/14/2003;Intel Xeon X5690 Hex-Core - 3.46 GHz                                  ;0,5;2,6;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;4;10 000;8;4.20692;0.26158;132.2 ;131.33;10;3;2;lineorder (20), customer(20) , supplier(40);AVG;3;2;4;4;1;3;4load, 4HashJoin, 1BcastJoin, 1Aggregate ;USD;44,13;4369,02;4413,15
30;Dell                ;PowerEdge 6600/4/2.8GHz/32GB                      ;Microsoft Windows .NET Enterprise Server                              ;Red Hat Enterprise Linux Server 7.34;Intel Xeon X2800 MP - 2.8 GHz                                         ;10;20;120;4;4;12;24;N;;6/30/2003;Intel Xeon X5690 Hex-Core - 3.46 GHz                                  ;0,5;2,6;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;8;10 000;8;4.20693;0.26159;132.2 ;131.34;10;4;2;lineorder (20), customer(20) , supplier(40);AVG;1;1;5;4;2;4;3load, 2HashJoin, 1Aggregate ;USD;41,03;4062,38;4103,41
31;Dell                ;PowerEdge 6600/4/2.0GHz/32GB                      ;Microsoft Windows .NET Enterprise Server                              ;Red Hat Enterprise Linux Server 7.35;Intel Xeon MP - 2.00 GHz                                              ;16;32;192;4;4;12;24;N;;4/21/2003;Intel Xeon X5690 Hex-Core - 3.46 GHz                                  ;0,5;2,6;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;8;10 000;8;4.20694;0.26160;132.2 ;131.35;10;4;4;lineorder (20), customer(20) , supplier(40);AVG;3;1;5;5;2;5;1load, 1HashJoin, 1BcastJoin, 1Aggregate ;USD;14,66;1451,39;1466,05
32;Dell                ;PowerEdge 6600/4/2.0Ghz/32GB                      ;Microsoft Windows Server 2003 Enterprise Edition                      ;Red Hat Enterprise Linux Server 7.36;Intel Xeon MP - 2.00 GHz                                              ;8;16;96;4;4;16;32;N;;01/06/2003;Intel Xeon X5690 Hex-Core - 3.46 GHz                                  ;0,5;2,6;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;8;10 000;8;4.20695;0.26161;132.2 ;131.36;10;4;4;lineorder (20), customer(20) , supplier(40);AVG;1;1;5;2;1;3;2load, 1HashJoin, 1Aggregate ;USD;14,66;1451,17;1465,83
33;Dell                ;PowerEdge 6650/4/2.0Ghz/32GB                      ;Microsoft Windows Server 2003 Enterprise Edition                      ;Red Hat Enterprise Linux Server 7.37;Intel Xeon MP - 2.00 GHz                                              ;32;64;384;4;4;16;32;N;;01/06/2003;Intel Xeon X5690 Hex-Core - 3.46 GHz                                  ;0,5;2,6;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;8;10 000;8;4.20696;0.26162;132.2 ;131.37;10;3;2;lineorder (20), customer(20) , supplier(40);AVG;3;3;5;5;1;3;2load, 1HashOuterJoin, 1Aggregate ;USD;#VALEUR!;#VALEUR!;1467,25 
34;Dell                ;PowerEdge 6600/4/1.6GHz                           ;Microsoft Windows Server 2003 Enterprise Edition                      ;Red Hat Enterprise Linux Server 7.38;Intel Xeon - 1.6 GHz                                                  ;40;80;480;4;4;12;24;N;;10/30/2002;Intel Xeon X5690 Hex-Core - 3.46 GHz                                  ;0,5;2,6;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;8;10 000;8;4.20697;0.26163;132.2 ;131.38;10;2;3;lineorder (20), customer(20) , supplier(40);AVG;2;1;3;2;1;3;2load, 1HashJoin, 1Aggregate ;USD;11,84;1172,51;1184,35
35;Dell                ;PowerEdge 2650/2.4/1P                             ;Microsoft Windows 2000 Server                                         ;Red Hat Enterprise Linux Server 7.39;Intel Xeon - 2.4 GHz                                                  ;60;120;720;1;1;1;1;N;;09/11/2002;Intel Xeon X5690 Hex-Core - 3.46 GHz                                  ;0,5;2,6;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;8;10 000;8;4.20698;0.26164;132.2 ;131.39;10;4;4;lineorder (20), customer(20) , supplier(40);AVG;3;1;4;5;1;4;1load, 1Aggregate, 1write ;USD;11,9;1177,66;1189,56
36;Dell                ;PowerEdge 4600/2.2/1P                             ;Microsoft Windows 2000 Server                                         ;Red Hat Enterprise Linux Server 7.40;Intel Xeon - 2.2 GHz                                                  ;2;2;8;1;1;2;4;N;;6/26/2002;Intel Xeon X5570 Quad-Core - 2.93 GHz                                 ;0,5;2,6;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;8;10 000;8;4.20699;0.26165;132.2 ;131.40;10;1;2;lineorder (20), customer(20) , supplier(40);AVG;1;2;5;3;2;5;2load, 1HashJoin, 1BcastJoin, 1Aggregate ;USD;11,92;1180,33;1192,25
37;Dell                ;PowerEdge 2500/1.26/1P                            ;Microsoft Windows 2000 Server                                         ;Red Hat Enterprise Linux Server 7.41;Intel Pentium III - 1.266 GHz                                         ;2;2;8;1;1;1;1;N;;03/12/2002;Intel Xeon X5355 Quad-Core - 2.66 GHz                                 ;0,5;2,6;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;8;10 000;8;4.20700;0.26166;132.2 ;131.41;10;3;4;lineorder (20), customer(20) , supplier(40);AVG;2;1;4;3;2;5;4load, 1HashJoin, 1BcastJoin, 1Union, 1Aggregate ;USD;11,51;1139,72;1151,23
38;Dell                ;PowerEdge 2500/1.26/1P                            ;Microsoft Windows 2000 Server                                         ;Red Hat Enterprise Linux Server 7.42;Intel Pentium III - 1.266 GHz                                         ;4;4;8;1;1;1;1;N;;03/12/2002;AMD Opteron 8220SE - 2.8 GHz                                          ;0,5;2,6;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;8;10 000;8;4.20701;0.26167;132.2 ;131.42;10;4;4;lineorder (20), customer(20) , supplier(40);AVG;2;1;4;3;1;4;6load, 3HashJoin, 1Union, 1Limit ;USD;11,69;1156,86;1168,55
39;Dell                ;PowerEdge 6450/700 with 3 PE1400                  ;Microsoft Windows 2000 Advanced Server                                ;Red Hat Enterprise Linux Server 7.43;Intel Pentium III Xeon - 700 MHz                                      ;4;4;8;4;4;3;3;N;;02/08/2002;AMD Opteron 8220SE - 2.8 GHz                                          ;0,5;2,6;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;8;10 000;8;4.20702;0.26168;132.2 ;131.43;10;4;4;lineorder (20), customer(20) , supplier(40);AVG;3;1;3;5;1;5;6load, 1Union+3HashJoin, 1Aggregate ;USD;11,98;1186,31;1198,29
40;Dell                ;PowerEdge 2500/1.13/1P                            ;Microsoft Windows 2000 Server                                         ;Red Hat Enterprise Linux Server 7.44;Intel Pentium III - 1.13 GHz                                          ;4;4;8;1;1;1;1;N;;12/14/2001;Intel Xeon MP - 3.4 GHz                                               ;0,5;2,6;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;8;10 000;8;4.20703;0.26169;132.2 ;131.44;10;1;3;lineorder (20), customer(20) , supplier(40);AVG;3;2;3;5;1;3;3load, 3HashJoin, 1BcastJoin ;USD;7,78;770,18;777,96
41;Dell                ;PowerEdge 2500/1.13/1P                            ;Microsoft Windows 2000 Server                                         ;Red Hat Enterprise Linux Server 7.45;Intel Pentium III - 1.13 GHz                                          ;2;2;4;1;1;1;1;N;;10/31/2001;Intel Xeon 5160 - 3.0 GHz                                             ;0,5;2,6;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;8;10 000;8;4.20704;0.26170;132.2 ;131.45;10;1;3;lineorder (20), customer(20) , supplier(40);AVG;3;3;4;2;1;3;4load, 2HashJoin, 1BcastJoin, 1OuterJoin, 1Aggregate ;USD;6,86;679,34;686,202
